rank_mdi,feature,mdi_importance,perm_importance
1,gdpgrowth,0.059362038480779776,0.03275670498084293
2,ln_gdpen,0.05475487975241058,0.024803639846743386
3,trade,0.041635868903152795,0.010245210727969356
4,life,0.0404861398323787,0.00768486590038316
5,lmtnest,0.03909838009141149,0.016974137931034528
6,geo1,0.036032576717086165,0.031200191570881202
7,lpopns,0.033579357252901405,0.006471264367816125
8,regd4_alt,0.03138316065243032,0.011031609195402359
9,illiteracy,0.03012649074540431,0.006423371647509575
10,dlang,0.029935581833198253,0.006395593869731875
11,pol4,0.029725669329795413,0.008171455938697355
12,infant,0.029012656856184378,0.004452107279693511
13,ef,0.025675626707118593,0.005650383141762472
14,milper,0.025295811407720435,0.0053074712643678135
15,durable,0.023466727790552602,0.004269157088122588
16,popdense,0.023452674093735342,0.00543390804597695
17,parreg,0.02326584188533383,0.006537356321838976
18,pol4sq,0.02294937972314666,0.006479885057471287
19,sxpnew,0.022922974113366967,0.004408045977011536
20,sxpsq,0.021818032582240778,0.0038888888888888307
21,inst3,0.02138067725726541,0.008934865900383171
22,plural,0.020829448903629758,0.003426245210727948
23,presi,0.019179131307526458,0.0036896551724138194
24,relfrac,0.019160264899034888,0.00355268199233727
25,ager,0.017813887734225833,0.003992337164751003
26,plurrel,0.01772408518571553,0.004045019157088141
27,seceduc,0.017479016496507585,0.0025603448275861216
28,drel,0.017438929963603928,0.0032863984674329494
29,avgnabo,0.017101567004043163,0.0029655172413793527
30,drace,0.01591781336105866,0.003972222222222192
31,second,0.01587950688087152,0.0018141762452107042
32,proxregc,0.014799292872681764,0.0029013409961686776
33,xconst,0.014760321669240557,0.0035775862068965214
34,anoc,0.013669063733369994,0.0025881226053640813
35,numlang,0.013314962893345302,0.000645593869731805
36,etdo4590,0.013076661310848234,0.0021063218390804015
37,partfree,0.012078623450156006,0.0026072796934866194
38,nat_war,0.009880124952418736,0.0030249042145594394
39,warhist,0.009768237162359972,0.0014990421455938208
40,dem,0.0093671359343501,0.0013649425287356465
41,decade1,0.009033186999322287,0.001583333333333344
42,tnatwar,0.008313770093153568,0.000887931034482814
43,inst,0.007500511117972384,0.0011714559386973484
44,nwstate,0.00476739995832222,0.00022030651340994764
45,ncontig,0.004487081761223955,0.00035249042145594583
46,oil,0.004083805297585701,0.0005718390804598054
47,geo34,0.003726737513645891,0.0005201149425287562
48,autonomy,0.003488885536171539,0.00021264367816094717
